Revenue,Survey question,Response option,Percent,Question sample size
"$500,001-$1 million",Best outcome on application(s) for an SBA loan/line of credit,Most (51-99%),9%,80
"$500,001-$1 million",Best outcome on application(s) for an SBA loan/line of credit,All (100%),20%,80
$1 million-$5 million,Best outcome on application(s) for an SBA loan/line of credit,None (0%),38%,101
$1 million-$5 million,Best outcome on application(s) for an SBA loan/line of credit,Some (1-50%),5%,101
$1 million-$5 million,Best outcome on application(s) for an SBA loan/line of credit,Most (51-99%),13%,101
$1 million-$5 million,Best outcome on application(s) for an SBA loan/line of credit,All (100%),43%,101
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,None (0%),23%,54
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Some (1-50%),26%,54
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Most (51-99%),13%,54
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,All (100%),38%,54
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,None (0%),15%,68
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Some (1-50%),23%,68
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Most (51-99%),9%,68
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at finance company,All (100%),53%,68
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at finance company,None (0%),18%,103
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Some (1-50%),7%,103
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at finance company,Most (51-99%),17%,103
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at finance company,All (100%),57%,103
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),7%,67
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),20%,67
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),15%,67
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),57%,67
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),31%,74
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),4%,74
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),11%,74
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),54%,74
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),8%,94
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),4%,94
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),19%,94
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),69%,94
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),41%,140
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),7%,140
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),24%,140
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),28%,140
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),41%,157
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),6%,157
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),12%,157
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),41%,157
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),33%,185
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),11%,185
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),13%,185
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),44%,185
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,None (0%),27%,264
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Some (1-50%),6%,264
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,Most (51-99%),12%,264
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at large bank,All (100%),54%,264
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,None (0%),35%,52
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Some (1-50%),21%,52
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Most (51-99%),9%,52
"$50,001-$100,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,All (100%),36%,52
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,None (0%),14%,132
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Some (1-50%),24%,132
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Most (51-99%),30%,132
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,All (100%),31%,132
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,None (0%),40%,137
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Some (1-50%),19%,137
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Most (51-99%),13%,137
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,All (100%),28%,137
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,None (0%),23%,143
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Some (1-50%),33%,143
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Most (51-99%),19%,143
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at online lender,All (100%),25%,143
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at online lender,None (0%),16%,166
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Some (1-50%),31%,166
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at online lender,Most (51-99%),18%,166
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at online lender,All (100%),35%,166
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),13%,64
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),12%,64
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),7%,64
$5 million-$10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),67%,64
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),37%,79
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),20%,79
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),7%,79
"$100,001-$250,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),36%,79
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),6%,80
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),7%,80
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),7%,80
More than $10 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),80%,80
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),23%,94
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),11%,94
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),19%,94
"$250,001-$500,000",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),47%,94
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),34%,118
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),8%,118
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),12%,118
"$500,001-$1 million",Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),46%,118
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,None (0%),19%,209
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Some (1-50%),4%,209
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,Most (51-99%),15%,209
$1 million-$5 million,Best outcome on loan/LOC/merchant cash advance application(s) at small bank,All (100%),62%,209
"$25,001-$50,000",Census division,South Atlantic,22%,284
"$25,001-$50,000",Census division,West South Central,18%,284
"$25,001-$50,000",Census division,Middle Atlantic,13%,284
"$25,001-$50,000",Census division,Mountain,11%,284
"$25,001-$50,000",Census division,Pacific,10%,284
"$25,001-$50,000",Census division,East North Central,9%,284
"$25,001-$50,000",Census division,West North Central,9%,284
"$25,001-$50,000",Census division,East South Central,5%,284
"$25,001-$50,000",Census division,New England,4%,284
"$0-$25,000",Census division,South Atlantic,28%,361
"$0-$25,000",Census division,Pacific,17%,361
"$0-$25,000",Census division,West South Central,14%,361
"$0-$25,000",Census division,Mountain,10%,361
"$0-$25,000",Census division,East North Central,9%,361
"$0-$25,000",Census division,West North Central,8%,361
"$0-$25,000",Census division,Middle Atlantic,8%,361
"$0-$25,000",Census division,New England,3%,361
"$0-$25,000",Census division,East South Central,3%,361
$5 million-$10 million,Census division,South Atlantic,21%,368
$5 million-$10 million,Census division,Pacific,18%,368
$5 million-$10 million,Census division,West South Central,18%,368
$5 million-$10 million,Census division,East North Central,13%,368
$5 million-$10 million,Census division,Middle Atlantic,9%,368
$5 million-$10 million,Census division,Mountain,7%,368
$5 million-$10 million,Census division,West North Central,6%,368
$5 million-$10 million,Census division,East South Central,5%,368
$5 million-$10 million,Census division,New England,4%,368
More than $10 million,Census division,South Atlantic,21%,412
More than $10 million,Census division,East North Central,21%,412
More than $10 million,Census division,East South Central,11%,412
More than $10 million,Census division,West South Central,11%,412
More than $10 million,Census division,Mountain,9%,412
More than $10 million,Census division,Pacific,9%,412
More than $10 million,Census division,West North Central,8%,412
More than $10 million,Census division,Middle Atlantic,8%,412
More than $10 million,Census division,New England,2%,412
"$50,001-$100,000",Census division,South Atlantic,22%,539
"$50,001-$100,000",Census division,Pacific,17%,539
"$50,001-$100,000",Census division,Middle Atlantic,16%,539
"$50,001-$100,000",Census division,West South Central,15%,539
"$50,001-$100,000",Census division,East North Central,13%,539
